cd_nom	taxa_name
601183	Acridotheres tristis
459626	Alopochen aegyptiacus
67571	Ameiurus melas
530331	Anoplophora glabripennis
2747	Branta canadensis
61174	Callosciurus erythraeus
61025	Cervus nippon
199413	Corvus splendens
641319	Dreissena rostriformis bugensis
18515	Eriocheir sinensis
853999	Faxonius limosus ou Orconectes limosus
68825	Gambusia affinis
68827	Gambusia holbrooki
69338	Lepomis gibbosus
60003	Macropus rufogriseus
61043	Muntiacus reevesi
60746	Neogale vison
61667	Myocastor coypus
60582	Nyctereutes procyonoides
61448	Ondatra zibethicus
2823	Oxyura jamaicensis
162667	Pacifastacus leniusculus
162668	Procambarus clarkii
924104	Procambarus Ortmann ou Procambarus fallax
60822	Procyon lotor
67415	Pseudorasbora parva
432746	Pycnonotus cafer
61171	Sciurus carolinensis
606802	Tamias sibiricus
2687	Threskiornis aethiopicus
77424	Trachemys scripta
433589	Vespa velutina
